iteration_id,iteration_label,month,n_days,any_cp_exact_days,any_cp_exact_pct,n_days_with_cp23,cp23_exact_days,cp23_exact_pct
onda3_c_rolling_temporal,Onda 3C rolling temporal no-interaction,2025-10,31,14,45.16129032258064,31,7,22.58064516129032
onda3_c_rolling_temporal,Onda 3C rolling temporal no-interaction,2025-11,30,13,43.333333333333336,30,8,26.666666666666668
onda3_c_rolling_temporal,Onda 3C rolling temporal no-interaction,2025-12,31,13,41.935483870967744,31,9,29.03225806451613
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-01,31,13,41.935483870967744,31,11,35.483870967741936
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-02,28,10,35.714285714285715,28,9,32.142857142857146
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-03,31,12,38.70967741935484,31,9,29.03225806451613
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-04,30,15,50.0,30,9,30.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-05,31,18,58.06451612903226,31,10,32.25806451612903
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-06,30,18,60.0,30,11,36.666666666666664
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-07,31,12,38.70967741935484,31,7,22.58064516129032
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-08,31,15,48.38709677419355,31,10,32.25806451612903
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-09,30,19,63.33333333333333,30,12,40.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-10,31,12,38.70967741935484,31,5,16.129032258064516
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-11,30,13,43.333333333333336,30,9,30.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023-12,31,12,38.70967741935484,31,8,25.806451612903224
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-01,31,8,25.806451612903224,31,5,16.129032258064516
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-02,29,9,31.03448275862069,29,7,24.137931034482758
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-03,31,9,29.03225806451613,31,8,25.806451612903224
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-04,30,16,53.333333333333336,30,6,20.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-05,31,14,45.16129032258064,31,10,32.25806451612903
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-06,30,16,53.333333333333336,30,13,43.333333333333336
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-07,31,15,48.38709677419355,31,10,32.25806451612903
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-08,31,15,48.38709677419355,31,7,22.58064516129032
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-09,30,12,40.0,30,5,16.666666666666664
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-10,31,13,41.935483870967744,31,9,29.03225806451613
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-11,30,15,50.0,30,10,33.33333333333333
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024-12,31,12,38.70967741935484,31,9,29.03225806451613
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-01,31,15,48.38709677419355,31,11,35.483870967741936
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-02,28,10,35.714285714285715,28,6,21.428571428571427
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-03,31,12,38.70967741935484,31,12,38.70967741935484
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-04,30,14,46.666666666666664,30,10,33.33333333333333
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-05,31,19,61.29032258064516,31,10,32.25806451612903
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-06,30,14,46.666666666666664,30,10,33.33333333333333
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-07,31,12,38.70967741935484,31,8,25.806451612903224
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-08,31,16,51.61290322580645,31,11,35.483870967741936
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-09,30,14,46.666666666666664,30,9,30.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-10,31,18,58.06451612903226,31,14,45.16129032258064
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-11,30,17,56.666666666666664,30,12,40.0
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025-12,31,11,35.483870967741936,31,6,19.35483870967742
